tlgwvnd6|230|trainer|Elixir of Detect Undead|d6ffc4e2:splqphvj|d6ffc4e2:x1zq3wcz,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
w4mwvpp3|230|trainer|Dreamless Sleep Potion|d6ffc4e2:ru199nff|d6ffc4e2:y3a574bb,3,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
3mp45jij|235|trainer|Arcane Elixir|d6ffc4e2:sfd9wequ|d6ffc4e2:znc0tult,1,rpe_item;d6ffc4e2:onr6v77u,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
i3e3qrh6|235|trainer|Elixir of Greater Intellect|d6ffc4e2:s1kw48zk|d6ffc4e2:znc0tult,1,rpe_item;d6ffc4e2:bne5607a,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
3lscircj|235|book|Invisibility Potion|d6ffc4e2:styd0av5|d6ffc4e2:u1agfqxe,1,rpe_item;d6ffc4e2:uvldarfw,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
mm915dzl|240|trainer|Elixir of Greater Agility|d6ffc4e2:icu04x4y|d6ffc4e2:uvldarfw,1,rpe_item;d6ffc4e2:onr6v77u,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
chihxncy|240|book|Gift of Arthas|d6ffc4e2:scmsuihq|d6ffc4e2:x1zq3wcz,1,rpe_item;d6ffc4e2:znc0tult,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
kld5e3xq|240|book|Elixir of Dream Vision|d6ffc4e2:z356n5ox|d6ffc4e2:y3a574bb,3,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
xt3bftkt|245|book|Ghost Dye|d6ffc4e2:zmjnfuj5|d6ffc4e2:u1agfqxe,2,rpe_item;7259f1d3:8p3vdy2m,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
4y5kti78|245|book|Elixir of Giants|d6ffc4e2:ca61o5k3|d6ffc4e2:uvldarfw,1,rpe_item;d6ffc4e2:rerdartb,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
k9tn2b5z|250|trainer|Stonescale Oil|d6ffc4e2:d4sw4y04|a4f19c2e:s8e2l5qn,1,rpe_item;d6ffc4e2:jdxdj7eh,1,rpe_item
yhd513gh|250|trainer|Elixir of Detect Demon|d6ffc4e2:91znxtaq|d6ffc4e2:rerdartb,2,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
ao3cx3sj|250|book|Elixir of Greater Firepower|d6ffc4e2:882yp72p|d6ffc4e2:q5f2o7ze,3,rpe_item;d6ffc4e2:uz4jtdrb,3,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
thpzcwrk|250|book|Elixir of Shadow Power|d6ffc4e2:nwnyows7|d6ffc4e2:u1agfqxe,3,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
20gysfpi|250|book|Elixir of Demonslaying|d6ffc4e2:2hrtx9s4|d6ffc4e2:rerdartb,1,rpe_item;d6ffc4e2:u1agfqxe,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
j7tqxqvn|250|book|Limited Invulnerability Potion|d6ffc4e2:kcf75b0d|d6ffc4e2:znc0tult,2,rpe_item;d6ffc4e2:u1agfqxe,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
14c7ig5p|255|book|Mighty Rage Potion|d6ffc4e2:jfrxly2n|d6ffc4e2:rerdartb,3,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
t8onf2vx|260|book|Superior Mana Potion|d6ffc4e2:rwdksulz|d6ffc4e2:uvldarfw,2,rpe_item;d6ffc4e2:znc0tult,2,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
0pxnk3bp|265|book|Elixir of Superior Defense|d6ffc4e2:ow2mvgk5|d6ffc4e2:d4sw4y04,2,rpe_item;d6ffc4e2:uvldarfw,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
lcarc51f|270|book|Elixir of the Sages|d6ffc4e2:4ijotmb4|d6ffc4e2:usfyk84u,1,rpe_item;d6ffc4e2:7tz4bmab,2,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
tq1u69v5|275|book|Transmute: Arcanite|61fdf3df:6hy57ood|61fdf3df:5m4zt99z,1,rpe_item;4999dcec:kzswtd0z,1,rpe_item;d6ffc4e2:y9p4s8nt,1,tool
